participant_id	rating	evaluation
sub-0001	0	successful
sub-0002	0	successful
sub-0003	0	successful
sub-0004	0	successful
sub-0005	0	successful
sub-0006	0	successful
sub-0007	0	successful
sub-0008	0	successful
sub-0009	0	successful
sub-0010	0	successful
sub-0011	0	successful
sub-0012	0	successful
sub-0013	0	successful
sub-0014	0	successful
sub-0015	0	successful
sub-0016	0	successful
sub-0017	0	successful
sub-0018	0	successful
sub-0019	0	successful
sub-0020	0	successful
sub-0021	0	successful
sub-0022	0	successful
sub-0023	0	successful
sub-0024	0	successful
sub-0025	0	successful
sub-0026	0	successful
sub-0027	0	successful
sub-0028	0	successful
sub-0029	0	successful
sub-0030	0	successful
sub-0031	0	successful
sub-0032	0	successful
sub-0033	0	successful
sub-0034	0	successful
sub-0035	0	successful
sub-0036	0	successful
sub-0037	0	successful
sub-0038	0	successful
sub-0039	0	successful
sub-0040	0	successful
sub-0041	0	successful
sub-0042	0	successful
sub-0043	0	successful
sub-0044	0	successful
sub-0045	0	successful
sub-0046	0	successful
sub-0047	0	successful
sub-0048	0	successful
sub-0049	0	successful
sub-0050	0	successful
sub-0051	0	successful
sub-0052	0	successful
sub-0053	0	successful
sub-0054	0	successful
sub-0055	0	successful
sub-0056	0	successful
sub-0057	0	successful
sub-0058	0	successful
sub-0059	0	successful
sub-0060	0	successful
sub-0061	0	successful
sub-0062	0	successful
sub-0063	0	successful
sub-0064	0	successful
sub-0065	0	successful
sub-0066	0	successful
sub-0067	0	successful
sub-0068	0	successful
sub-0069	0	successful
sub-0070	0	successful
sub-0071	0	successful
sub-0072	0	successful
sub-0073	0	successful
sub-0074	0	successful
sub-0075	0	successful
sub-0076	0	successful
sub-0077	0	successful
sub-0078	0	successful
sub-0079	0	successful
sub-0080	0	successful
sub-0081	0	successful
sub-0082	0	successful
sub-0083	0	successful
sub-0084	0	successful
sub-0085	0	successful
sub-0086	0	successful
sub-0087	0	successful
sub-0088	0	successful
sub-0089	0	successful
sub-0090	0	successful
sub-0091	0	successful
sub-0092	0	successful
sub-0093	0	successful
sub-0094	0	successful
sub-0095	0	successful
sub-0096	0	successful
sub-0097	0	successful
sub-0098	0	successful
sub-0099	0	successful
sub-0100	0	successful
sub-0101	0	successful
sub-0102	0	successful
sub-0103	0	successful
sub-0104	0	successful
sub-0105	0	successful
sub-0106	0	successful
sub-0107	0	successful
sub-0108	0	successful
sub-0109	0	successful
sub-0110	0	successful
sub-0111	0	successful
sub-0112	0	successful
sub-0113	0	successful
sub-0114	0	successful
sub-0115	0	successful
sub-0116	0	successful
sub-0117	0	successful
sub-0118	0	successful
sub-0119	0	successful
sub-0120	0	successful
sub-0121	0	successful
sub-0122	0	successful
sub-0123	0	successful
sub-0124	0	successful
sub-0125	0	successful
sub-0126	0	successful
sub-0127	0	successful
sub-0128	0	successful
sub-0129	0	successful
sub-0130	0	successful
sub-0131	0	successful
sub-0132	0	successful
sub-0133	0	successful
sub-0134	0	successful
sub-0135	0	successful
sub-0136	0	successful
sub-0137	0	successful
sub-0138	0	successful
sub-0139	0	successful
sub-0140	0	successful
sub-0141	0	successful
sub-0142	0	successful
sub-0143	0	successful
sub-0144	0	successful
sub-0145	0	successful
sub-0146	0	successful
sub-0147	0	successful
sub-0148	0	successful
sub-0149	0	successful
sub-0150	0	successful
sub-0151	0	successful
sub-0152	0	successful
sub-0153	0	successful
sub-0154	0	successful
sub-0155	0	successful
sub-0156	0	successful
sub-0157	0	successful
sub-0158	0	successful
sub-0159	0	successful
sub-0160	0	successful
sub-0161	0	successful
sub-0162	0	successful
sub-0163	0	successful
sub-0164	0	successful
sub-0165	0	successful
sub-0166	0	successful
sub-0167	0	successful
sub-0168	0	successful
sub-0169	0	successful
sub-0170	0	successful
sub-0171	0	successful
sub-0172	0	successful
sub-0173	0	successful
sub-0174	0	successful
sub-0175	0	successful
sub-0176	0	successful
sub-0177	0	successful
sub-0178	0	successful
sub-0179	0	successful
sub-0180	0	successful
sub-0181	0	successful
sub-0182	0	successful
sub-0183	0	successful
sub-0184	0	successful
sub-0185	0	successful
sub-0186	0	successful
sub-0187	0	successful
sub-0188	0	successful
sub-0189	0	successful
sub-0190	0	successful
sub-0191	0	successful
sub-0192	0	successful
sub-0193	0	successful
sub-0194	0	successful
sub-0195	0	successful
sub-0196	0	successful
sub-0197	0	successful
sub-0198	0	successful
sub-0199	0	successful
sub-0200	0	successful
sub-0201	0	successful
sub-0202	0	successful
sub-0203	0	successful
sub-0204	0	successful
sub-0205	0	successful
sub-0206	0	successful
sub-0207	0	successful
sub-0208	0	successful
sub-0209	0	successful
sub-0210	0	successful
sub-0211	0	successful
sub-0212	0	successful
sub-0213	0	successful
sub-0214	0	successful
sub-0215	0	successful
sub-0216	0	successful
sub-0217	0	successful
sub-0218	0	successful
sub-0219	0	successful
sub-0220	0	successful
sub-0221	0	successful
sub-0222	0	successful
sub-0223	0	successful
sub-0224	0	successful
sub-0225	0	successful
sub-0226	0	successful
sub-0227	0	successful
sub-0228	0	successful
sub-0229	0	successful
sub-0230	0	successful
sub-0231	0	successful
sub-0232	0	successful
sub-0233	0	successful
sub-0234	0	successful
sub-0235	0	successful
sub-0236	3	normal
sub-0237	0	successful
sub-0238	0	successful
sub-0239	0	successful
sub-0240	0	successful
sub-0241	0	successful
sub-0242	0	successful
