participant_id	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-0001	0.465546765	2.868269814	0.48420191	1098.994873	3.402033333	3.51887	3.46164	3.22559	0.187233292	0.412790112	0.399976596	1.910017371	0.677296448	0	0.007436111	34.56994506	16.51321536	20.56656872	240	256	256	2.837931096	10.75191769	10.41060952	17.64197978	25.02097598	47.86292084	45.81724149	64.56782766	1	1	1	2.142612782	10.14653397	19.98544502	16.91456795	5653671	3.369756222	43.99008942	13.04195595	20.73187036	131.9450836	411.2660828	387.5165405	13954	236.4208923	626.7181946	136.5440674	0.136240832	66.75275421	745.2321777	741.2849731	20082	637.5380005	865.7728699	68.94272614	0.32678888	53.69351959	998.321228	1000.005005	250384	900.9854431	1088.927594	56.68315125	0.219325349	0.49230054	0.547046304	0.597246153
sub-0002	0.385072861	3.411949967	0.452805507	1082.607422	3.41517	3.51386	3.44387	3.28778	0.188251653	0.426704785	0.385043562	1.879315853	0.599394518	0	0.006685532	39.43348048	18.68741276	24.37201706	240	256	256	3.015094348	11.42846751	11.01888975	18.61310739	28.85790237	51.52802388	50.7965995	72.00387224	1	1	1	2.314534117	9.098587036	17.71435356	15.17399025	5443230	3.026189089	39.53829956	11.80227947	16.00351782	136.0075836	408.2181091	400.7808838	14804	226.7966461	598.666745	132.9203339	0.290862581	59.81961823	715.7177734	715.6253662	17147	610.7369263	819.4483826	62.61596298	0.537215844	49.68364334	997.4642334	999.9956055	202979	902.8481384	1081.12644	53.7252121	0.226361006	0.514263451	0.554492831	0.633809877
sub-0003	0.412619207	3.250977341	0.473972943	1242.209106	3.441286667	3.58156	3.47847	3.26383	0.195594652	0.408051741	0.396353607	1.751863956	0.538233829	0	0.00567202	33.921256	17.06845685	21.12257586	240	256	256	3.109184471	11.46360705	11.16604446	18.92534187	29.27305319	54.03677854	52.48967317	74.15918778	1	1	1	2.344821405	8.834133148	17.50001717	14.69885159	5364045	2.927372456	38.97574692	11.58981705	23.35405801	116.6462708	406.2316284	394.7301025	21388	228.864579	599.3838409	126.953186	0.171676648	61.57835007	728.4938965	728.654541	17594	624.5022766	834.2931244	63.56060791	0.342466296	50.38132858	998.7290649	999.9935303	259559	909.0578003	1083.462805	52.83876038	0.224693149	0.494589269	0.556285679	0.572113648
sub-0004	0.404603033	3.274421286	0.495780247	1002.255798	3.44082	3.49774	3.54943	3.27529	0.187568186	0.422622734	0.38980908	1.800870657	0.622181398	0	0.006155289	33.11101651	15.92090597	20.38697092	240	256	256	3.457385261	11.87367313	10.89646106	17.35832478	22.22519931	48.29967764	45.79057971	66.84686219	1	1	1	1.825030669	9.800568581	19.53853607	16.24075317	4897865	3.223651409	42.62504196	12.58230877	2.55887391	77.69350433	352.5422974	332.4797668	24642	235.3833176	539.5084198	96.16313934	0.189704795	58.7400589	721.8847046	722.5431519	26077	620.9626099	821.5113281	60.85137177	0.485192595	53.52036667	996.7285156	1000.001343	265641	894.4439697	1085.661011	57.60921478	0.254367113	0.515005171	0.56478852	0.600234262
sub-0005	0.45777397	2.92232873	0.488041465	977.7138672	3.330883333	3.46487	3.34446	3.18332	0.192237493	0.418482098	0.389280409	1.82546556	0.601564074	0	0.006136714	35.61956584	17.40970822	21.9405471	240	256	256	2.869965362	11.34364098	10.89849308	18.48187289	24.24350507	47.96804704	45.45393774	64.1502611	1	1	1	2.128933405	10.21250057	20.51961136	16.86374283	5101937	3.341659737	46.41667862	13.36550331	14.86303495	122.0677643	403.5195618	377.9164429	25704	241.3808075	617.1263306	131.6772308	0.049736298	64.16181946	748.2824097	747.743103	20005	640.4269775	859.3174805	65.91573334	0.356661587	51.3135643	997.6710815	999.9972534	245047	903.762262	1082.538513	54.10681152	0.239156812	0.499406457	0.551023424	0.564956251
sub-0006	0.376301547	3.565895872	0.410976859	2336.656982	3.477299955	3.389399865	3.62114	3.42136	0.195287382	0.401234944	0.403477674	1.976611376	0.542696977	0	0.007673609	48.34222391	24.33877699	29.42391353	240	256	256	3.426632527	11.53345169	12.26301525	21.82896154	25.81473653	56.58819394	53.60839616	78.42225801	1.200000048	1	1	2.827007988	8.353892326	12.9244194	11.28601265	6050269	2.805413818	30.87579346	9.140045166	5.577162831	79.11235809	350.7162781	329.1734924	19040	234.6610649	533.599472	96.06073761	0.141224843	60.81709671	723.3483887	721.5775146	11593	622.0129761	829.2219482	62.56118393	0.31419701	43.95068359	998.1109619	999.9919434	180368	919.206781	1069.93103	45.81020355	0.246092781	0.494162053	0.561517954	0.651982241
sub-0007	0.477476824	2.808194085	0.485432705	1190.082153	3.302716667	3.39427	3.39226	3.12162	0.182395918	0.422642339	0.394961743	1.833887458	0.635212725	0	0.005609816	35.67648092	16.51531909	20.71410707	240	256	256	2.891989371	10.8550557	10.71263757	18.39086765	22.63244216	47.38677096	44.39404133	63.16291086	1	1	1	1.965576086	10.37224483	20.56546021	17.23530579	5600323	3.428027678	44.97212791	13.33722591	4.75492118	114.7317047	390.4819336	358.321167	24256	238.0581856	605.9876099	123.8987198	0.014244604	67.14412689	750.9034424	750.2364502	15059	636.9370789	867.2491821	69.11171722	0.320353767	52.11567688	998.7324829	1000.007324	249799	906.4808777	1085.51947	54.375103	0.249237731	0.507625759	0.560999274	0.588677753
sub-0008	0.466679166	2.909940322	0.515747278	753.980896	3.38015	3.51976	3.38988	3.23081	0.20697755	0.406619688	0.386402762	1.652251363	0.4692047	0	0.004272581	36.60136025	18.94507154	23.62319132	240	256	256	3.44625693	11.34650887	10.71564323	17.35416389	15.1459453	32.07379692	30.13865831	43.1962327	1	1	1	2.379774086	15.16677666	23.31269264	20.62564087	4067883	3.443918943	51.55335388	15.07123089	2.458463883	83.49817657	368.0471497	350.6371765	27035	236.460231	560.7966064	101.7424698	0.04276386	64.55871582	742.4421997	742.5264893	14147	634.2540588	851.2668945	65.43865204	0.225436319	55.60681152	999.0160522	1000.017151	215148	902.0969116	1092.130975	57.62391281	0.22617431	0.486265481	0.553543746	0.51888263
sub-0009	0.441246275	3.038759958	0.518795063	732.541626	3.393686667	3.4781	3.50388	3.19908	0.201977323	0.396457032	0.401565645	1.658263922	0.471120799	0	0.005521089	37.72718222	19.48247485	23.25434492	240	256	256	3.319851486	10.24889048	10.52042045	17.99251939	20.32108202	44.29332027	41.9356104	61.19242889	1	1	1	2.047170906	10.70604897	21.01328278	17.44178772	3834062	3.420376539	46.27662277	13.51601982	4.283705749	83.55477905	350.2868042	332.0812378	29042	223.6627174	541.6284515	100.0272217	0.07951597	67.98623657	725.3018188	723.8286133	11255	611.2810486	845.6292419	70.62193298	0.216208546	53.8684845	998.9181519	999.9889526	223645	905.4561646	1088.987866	55.57791519	0.237051845	0.481450915	0.556064367	0.524814264
sub-0010	0.472029803	2.832183822	0.495187378	964.0372925	3.33333	3.43728	3.43639	3.12632	0.193738237	0.423732337	0.382529425	1.868780255	0.656767935	0	0.005848728	30.2983015	14.79333278	19.12344942	240	256	256	2.071736016	10.76006638	10.16642109	17.66746086	14.90936533	33.45912205	31.11709583	44.98280012	1	1	1	1.969482262	14.56456089	22.07778931	19.85784721	5529249	3.319301128	49.15133514	14.12970543	50.73727384	91.97160339	371.353241	331.4552002	34428	223.7168587	602.9405731	159.9867859	0.206160013	66.53575134	746.2939453	743.8411865	20544	634.9077515	864.7315674	69.12811279	0.267683395	54.39206696	998.833313	1000.028015	282259	902.8710815	1089.795813	56.60271454	0.235396788	0.491066664	0.541279733	0.547416398
sub-0011	0.459523618	2.909125041	0.487970999	893.4993896	3.2803	3.41708	3.33871	3.08511	0.203268304	0.427619407	0.369112288	1.823939085	0.620790267	0	0.004712253	38.11813037	18.93609189	25.25494499	240	256	256	3.383393802	10.88366716	10.18849341	16.29841927	21.11213907	45.11177541	42.62513295	61.65148437	1	1	1	3.426222534	10.62658882	21.67409325	17.44617462	5377446	3.454851866	48.96106529	14.83996582	3.214618419	86.73110199	361.7460632	342.4478149	24573	233.8292053	553.2947876	101.2122345	0.18565628	65.15386963	732.4954834	731.7320557	12925	621.9263306	842.2624146	67.22952271	0.420772495	58.12761688	997.2966919	1000.013123	187761	890.6252441	1092.786621	61.3562851	0.25434196	0.511222363	0.560258925	0.525546363
sub-0012	0.422043115	3.145325428	0.512313927	745.2242432	3.483293333	3.55752	3.54619	3.34617	0.201514136	0.405415273	0.393070591	1.724274397	0.577583575	0	0.006420171	32.97588961	16.82293838	20.90265015	240	256	256	3.222450057	10.88668469	11.14385524	19.32243097	15.9908822	33.54090606	31.81871975	45.92437098	1	1	1	1.865318521	14.2654953	20.57943344	19.51018143	3957985	3.273312092	45.58031387	13.0741415	4.707131843	107.3955994	367.2998047	348.1990356	29772	223.6296173	559.3747498	108.0523148	0.166098301	64.54522705	729.7930298	730.3481445	15344	618.4423248	840.862674	67.08418274	0.385731281	49.25788498	998.2692261	999.9962158	245664	909.6315002	1080.219165	51.75302124	0.239103228	0.493408501	0.545172274	0.58296032
sub-0013	0.442272363	3.028494431	0.491462897	957.5058594	3.30188	3.3713	3.42479	3.10955	0.198094028	0.421057052	0.38084892	1.848966479	0.652527356	0	0.005959853	35.57631123	17.59611347	22.79075887	240	256	256	3.021293217	11.30317132	10.60849955	17.50103413	22.33529154	47.14831978	44.5506304	64.16827988	1	1	1	2.304600174	10.20981979	20.49904633	16.91668701	5345644	3.359438658	46.52236958	13.42620945	14.24052297	91.23234558	371.3243408	348.0791321	20629	233.4437561	582.6047607	115.205864	0.173442651	62.6252861	733.9963989	734.7719727	13857	625.2824951	840.245752	65.003479	0.247785127	54.68462372	997.2026367	1000.015564	213185	897.0160767	1086.644946	57.1402359	0.238294601	0.495882213	0.53961277	0.568064123
