"age","sex","dataset","mu","sigma","nu","tau"
45,"F","ADNI",0.0058035255251089,0.0615688194817307,1.55370728256571,18.7053241867337
45.5,"F","ADNI",0.00579518954492469,0.0619169687853795,1.55370728256571,18.7053241867337
46,"F","ADNI",0.00578685356474048,0.0622651180890283,1.55370728256571,18.7053241867337
46.5,"F","ADNI",0.00577851758455627,0.062613267392677,1.55370728256571,18.7053241867337
47,"F","ADNI",0.00577018160437206,0.0629614166963258,1.55370728256571,18.7053241867337
47.5,"F","ADNI",0.00576184562418784,0.0633095659999746,1.55370728256571,18.7053241867337
48,"F","ADNI",0.00575350964400363,0.0636577153036234,1.55370728256571,18.7053241867337
48.5,"F","ADNI",0.00574517366381942,0.0640058646072721,1.55370728256571,18.7053241867337
49,"F","ADNI",0.00573683768363521,0.0643540139109209,1.55370728256571,18.7053241867337
49.5,"F","ADNI",0.00572850170345099,0.0647021632145697,1.55370728256571,18.7053241867337
50,"F","ADNI",0.00572016572326678,0.0650503125182185,1.55370728256571,18.7053241867337
50.5,"F","ADNI",0.00571182974308257,0.0653984618218673,1.55370728256571,18.7053241867337
51,"F","ADNI",0.00570349376289836,0.065746611125516,1.55370728256571,18.7053241867337
51.5,"F","ADNI",0.00569515778271414,0.0660947604291648,1.55370728256571,18.7053241867337
52,"F","ADNI",0.00568682180252993,0.0664429097328136,1.55370728256571,18.7053241867337
52.5,"F","ADNI",0.00567848582234572,0.0667910590364624,1.55370728256571,18.7053241867337
53,"F","ADNI",0.00567014984216151,0.0671392083401111,1.55370728256571,18.7053241867337
53.5,"F","ADNI",0.00566181386197729,0.0674873576437599,1.55370728256571,18.7053241867337
54,"F","ADNI",0.00565347788179308,0.0678355069474087,1.55370728256571,18.7053241867337
54.5,"F","ADNI",0.00564514190160887,0.0681836562510575,1.55370728256571,18.7053241867337
55,"F","ADNI",0.00563680592142466,0.0685318055547063,1.55370728256571,18.7053241867337
55.5,"F","ADNI",0.00562846980121246,0.0688799562418622,1.55370728256571,18.7053241867337
56,"F","ADNI",0.00562013244703357,0.0692281190776457,1.55370728256571,18.7053241867337
56.5,"F","ADNI",0.00561179172968031,0.0695763161427253,1.55370728256571,18.7053241867337
57,"F","ADNI",0.00560344437113726,0.0699245843255051,1.55370728256571,18.7053241867337
57.5,"F","ADNI",0.00559508584115333,0.070272980854148,1.55370728256571,18.7053241867337
58,"F","ADNI",0.00558671131060275,0.0706215678766979,1.55370728256571,18.7053241867337
58.5,"F","ADNI",0.00557831595035974,0.0709704075411987,1.55370728256571,18.7053241867337
59,"F","ADNI",0.00556989493129852,0.0713195619956943,1.55370728256571,18.7053241867337
59.5,"F","ADNI",0.00556144346241874,0.0716690943029198,1.55370728256571,18.7053241867337
60,"F","ADNI",0.0055529570344906,0.0720190742857506,1.55370728256571,18.7053241867337
60.5,"F","ADNI",0.00554443127877013,0.0723695749431201,1.55370728256571,18.7053241867337
61,"F","ADNI",0.00553586203951381,0.0727206714749852,1.55370728256571,18.7053241867337
61.5,"F","ADNI",0.0055272453244878,0.0730724407646535,1.55370728256571,18.7053241867337
62,"F","ADNI",0.00551857718596028,0.073424959920102,1.55370728256571,18.7053241867337
62.5,"F","ADNI",0.00550985399069986,0.0737783076525032,1.55370728256571,18.7053241867337
63,"F","ADNI",0.00550107230570628,0.0741325643249019,1.55370728256571,18.7053241867337
63.5,"F","ADNI",0.00549222871287018,0.0744878105360777,1.55370728256571,18.7053241867337
64,"F","ADNI",0.00548331974298347,0.0748441264190538,1.55370728256571,18.7053241867337
64.5,"F","ADNI",0.0054743417833824,0.0752015916129382,1.55370728256571,18.7053241867337
65,"F","ADNI",0.00546529107804965,0.075560285559673,1.55370728256571,18.7053241867337
65.5,"F","ADNI",0.00545616377292797,0.075920287277825,1.55370728256571,18.7053241867337
66,"F","ADNI",0.00544695530214657,0.0762816723148407,1.55370728256571,18.7053241867337
66.5,"F","ADNI",0.00543766013066547,0.0766445114490038,1.55370728256571,18.7053241867337
67,"F","ADNI",0.00542827199395657,0.0770088707738097,1.55370728256571,18.7053241867337
67.5,"F","ADNI",0.00541878416839239,0.077374811932654,1.55370728256571,18.7053241867337
68,"F","ADNI",0.00540918978451379,0.0777423925239911,1.55370728256571,18.7053241867337
68.5,"F","ADNI",0.00539948213131523,0.078111665749938,1.55370728256571,18.7053241867337
69,"F","ADNI",0.00538965492617501,0.0784826809690241,1.55370728256571,18.7053241867337
69.5,"F","ADNI",0.00537970247690738,0.0788554844073455,1.55370728256571,18.7053241867337
70,"F","ADNI",0.00536962013158058,0.079230118903534,1.55370728256571,18.7053241867337
70.5,"F","ADNI",0.00535940567736312,0.0796066207079096,1.55370728256571,18.7053241867337
71,"F","ADNI",0.00534905956958998,0.0799850197200098,1.55370728256571,18.7053241867337
71.5,"F","ADNI",0.00533858513376983,0.0803653395926867,1.55370728256571,18.7053241867337
72,"F","ADNI",0.005327988533713,0.0807475978511696,1.55370728256571,18.7053241867337
72.5,"F","ADNI",0.00531727822562723,0.0811318068059512,1.55370728256571,18.7053241867337
73,"F","ADNI",0.00530646434856221,0.0815179744599226,1.55370728256571,18.7053241867337
73.5,"F","ADNI",0.00529555865964994,0.0819061037891658,1.55370728256571,18.7053241867337
74,"F","ADNI",0.00528457435097669,0.0822961922347967,1.55370728256571,18.7053241867337
74.5,"F","ADNI",0.00527352561199167,0.0826882319580384,1.55370728256571,18.7053241867337
75,"F","ADNI",0.00526242728457417,0.0830822097219161,1.55370728256571,18.7053241867337
75.5,"F","ADNI",0.0052512945722303,0.083478107363278,1.55370728256571,18.7053241867337
76,"F","ADNI",0.00524014274980518,0.0838759042759015,1.55370728256571,18.7053241867337
76.5,"F","ADNI",0.00522898685352767,0.0842755748485255,1.55370728256571,18.7053241867337
77,"F","ADNI",0.00521784128783021,0.0846770840868848,1.55370728256571,18.7053241867337
77.5,"F","ADNI",0.00520671952352813,0.0850803878246974,1.55370728256571,18.7053241867337
